text,created_at,retweet_count,favorite_count,is_retweet,id_str
This team has so much to be proud of. Whatever happens tonight thank you for everything. https://t.co/x13iWOzILL,11/9/2016 1:55,138990,365224,FALSE,7.96169E+17
RT @timkaine: Thinking about my daughter right now. No little girl will ever again have to wonder whether she too can be president. https…,11/9/2016 1:42,16249,0,TRUE,7.96166E+17
RT @HillaryforNC: If you haven't voted NC @POTUS needs you to get in line. As long as you're in line when polls close you can vote. http…,11/9/2016 0:45,6181,0,TRUE,7.96152E+17
Remember if you are in line before polls close you can vote! Have a question? Call 1-917-444-5915. https://t.co/2MVKOatmvy,11/9/2016 0:12,12426,21210,FALSE,7.96143E+17
Election Day is almost over. Don’t wait—go vote now! Confirm where you vote at https://t.co/jfd3CXLD1s https://t.co/IvyE2hJFEU,11/8/2016 22:54,4334,12203,FALSE,7.96124E+17
RT @RobbyMook: Strong Dem Broward + Orange Counties FL surpassed total 2012 turnout as of 4pm. Amazing work @HillaryforFL volunteers! #GO…,11/8/2016 22:02,1804,0,TRUE,7.96111E+17
Our neighbors in battleground states need your help. Make calls to remind Hillary supporters to go vote: https://t.co/Iyboc4TNeA,11/8/2016 21:02,1802,6181,FALSE,7.96096E+17
Today's the day when we show how much stronger we are together. Once you’ve voted sign up for a volunteer shift: https://t.co/KUIKH9W2ct,11/8/2016 20:01,2945,9874,FALSE,7.9608E+17
It's going to be close and we need you on this team. Confirm where to vote today: https://t.co/jfd3CXLD1s,11/8/2016 18:59,2415,7589,FALSE,7.96065E+17
If you’ve already voted jump on the phone and remind voters in key battleground states to go vote:… https://t.co/KZhrr7FCuD,11/8/2016 18:25,2434,6526,FALSE,7.96056E+17
RT @VP: Today is Election Day in America. It’s time to get out and vote. https://t.co/a0MJUF4QIy,11/8/2016 17:23,3782,0,TRUE,7.96041E+17
Today let's show the world that love will always trump hate. https://t.co/jfd3CXu1CS https://t.co/a7FXGtAfiG,11/8/2016 17:09,15443,31667,FALSE,7.96037E+17
RT @aliciakeys: This morning I woke up feeling hopeful for the power of our voice for unity for our continued progress. #VoteLove #ImWit…,11/8/2016 16:59,10782,0,TRUE,7.96034E+17
How do we go high? We vote: https://t.co/jfd3CXu1CS https://t.co/rx5OWheuBd,11/8/2016 16:39,4577,12444,FALSE,7.96029E+17
Already voted? That's great! Now help Hillary win by signing up to make calls now: https://t.co/2yc00omuvC,11/8/2016 16:18,1494,4320,FALSE,7.96024E+17
